Map_ID,Size,NumWumpus,PitProb,Moving,Hybrid_Success,Hybrid_Score,Hybrid_Decision_Eff,Hybrid_Time_ms,Random_Success,Random_Score,Random_Decision_Eff,Random_Time_ms
104,8,2,0.1,True,1,980,32,216.750622,0,0,1,0.031471
105,8,2,0.1,True,0,-1027,27,108.504057,0,-10,3,0.061035
106,8,2,0.1,True,1,998,14,12.769938,0,-1186,292,4.120111
107,8,2,0.1,True,0,-1025,36,344.521999,0,-1116,183,2.48003
108,8,2,0.1,True,1,1001,11,12.375116,0,-30,39,1.028299
109,8,2,0.1,True,0,-1016,16,39.91127,0,-11,8,0.166416
110,8,2,0.1,True,0,-1004,4,3.787518,0,-1,2,0.043154
111,8,2,0.1,True,0,-1018,18,44.768572,0,-10,2,0.0453
112,8,2,0.1,True,0,-1010,10,13.032675,0,-1013,5,0.148773
113,8,2,0.1,True,1,924,88,2081.239939,0,-14,7,0.133514
114,8,2,0.1,True,0,-1026,26,96.467257,0,0,1,0.030756
115,8,2,0.1,True,0,-1027,27,341.410637,0,-11,3,0.11301
116,8,2,0.1,True,0,-1032,32,284.800768,1,1010,2,0.040054
117,8,2,0.1,True,0,-1020,20,17.998695,0,-1015,6,0.116587
118,8,2,0.1,True,0,-1002,2,1.015425,0,-25,27,0.394106
119,8,2,0.1,True,0,-1027,27,254.996538,0,0,1,0.029087
120,8,2,0.1,True,1,974,38,144.262314,0,-1001,1,0.034332
121,8,2,0.1,True,0,-1029,29,115.959406,0,-11,3,0.064373
122,8,2,0.1,True,0,-1013,13,21.533489,0,-1,4,0.077009
123,8,2,0.1,True,1,962,50,532.819271,0,0,1,0.029564
124,8,2,0.1,True,0,-1010,10,13.390303,0,-1012,3,0.067711
125,8,2,0.1,True,1,971,41,500.592947,0,-1001,1,0.039101
126,8,2,0.1,True,0,-1008,8,5.252361,0,-14,6,0.110865
127,8,2,0.1,True,0,-1050,50,705.967426,0,-1,2,0.049114
128,8,2,0.1,True,0,-1021,21,59.49378,0,0,1,0.032425
129,8,2,0.1,True,0,-1013,24,75.5198,0,-11,3,0.073433
130,8,2,0.1,True,0,-1038,38,401.040554,0,-8,9,0.165701
131,8,2,0.1,True,1,1010,2,0.669241,0,-1033,45,0.640154
132,8,2,0.1,True,0,-1032,32,209.115028,0,0,1,0.029802
133,8,2,0.1,True,0,-1039,39,486.050367,0,-10,8,0.117302
134,8,2,0.1,True,0,-1030,30,146.869183,0,-10,2,0.043869
135,8,2,0.1,True,1,979,33,121.048212,0,-1001,1,0.035286
136,8,2,0.1,True,0,-1002,2,1.097679,0,-1012,4,0.067472
137,8,2,0.1,True,0,-1054,65,903.717041,0,-1010,12,0.213623
138,8,2,0.1,True,0,-1002,2,1.03879,0,-1032,40,0.567913
